Gender,Risk_Class,Issue_Age,Policy_Year,Rate
M,NS,19,22,1.2
M,NS,19,23,1.27
M,NS,19,24,1.35
M,NS,19,25,1.44
M,NS,19,26,1.54
M,NS,19,27,1.59
M,NS,19,28,1.65
M,NS,19,29,1.71
M,NS,19,30,1.79
M,NS,19,31,1.88
M,NS,19,32,1.99
M,NS,19,33,2.16
M,NS,19,34,2.36
M,NS,19,35,2.58
M,NS,19,36,2.8
M,NS,19,37,3.02
M,NS,19,38,3.22
M,NS,19,39,3.43
M,NS,19,40,3.66
M,NS,19,41,3.93
M,NS,19,42,4.28
M,NS,19,43,4.74
M,NS,19,44,5.27
M,NS,19,45,5.88
M,NS,19,46,6.54
M,NS,19,47,7.25
M,NS,19,48,8.02
M,NS,19,49,8.86
M,NS,19,50,9.79
M,NS,19,51,10.88
M,NS,19,52,12.16
M,NS,19,53,13.69
M,NS,19,54,15.48
M,NS,19,55,17.55
M,NS,19,56,19.89
M,NS,19,57,22.48
M,NS,19,58,25.32
M,NS,19,59,28.46
M,NS,19,60,31.99
M,NS,19,61,36.04
M,NS,19,62,40.76
M,NS,19,63,46.15
M,NS,19,64,52.27
M,NS,19,65,59.31
M,NS,19,66,67.48
M,NS,19,67,76.96
M,NS,19,68,87.87
M,NS,19,69,100.29
M,NS,19,70,114.02
M,NS,19,71,128.76
M,NS,19,72,144.17
M,NS,19,73,159.79
M,NS,19,74,175.3
M,NS,19,75,190.25
M,NS,19,76,203.94
M,NS,19,77,218.45
M,NS,19,78,235.54
M,NS,19,79,253.92
M,NS,19,80,273.64
M,NS,19,81,294.31
M,NS,19,82,315.52
M,NS,19,83,336.99
M,NS,19,84,358.54
M,NS,19,85,379.81
M,NS,19,86,400.44
M,NS,19,87,420.09
M,NS,19,88,438.4
M,NS,19,89,455.01
M,NS,19,90,469.56
M,NS,19,91,481.7
M,NS,19,92,491.07
M,NS,19,93,497.31
M,NS,19,94,500
M,NS,19,95,500
M,NS,19,96,500
M,NS,19,97,500
M,NS,19,98,500
M,NS,19,99,500
M,NS,19,100,500
M,NS,19,101,500
M,NS,19,102,500
M,NS,20,1,0.51
M,NS,20,2,0.57
M,NS,20,3,0.57
M,NS,20,4,0.55
M,NS,20,5,0.53
M,NS,20,6,0.52
M,NS,20,7,0.51
M,NS,20,8,0.47
M,NS,20,9,0.43
M,NS,20,10,0.44
M,NS,20,11,0.44
M,NS,20,12,0.45
M,NS,20,13,0.46
M,NS,20,14,0.51
M,NS,20,15,0.57
M,NS,20,16,0.62
M,NS,20,17,0.71
M,NS,20,18,0.82
M,NS,20,19,0.94
M,NS,20,20,1.07
M,NS,20,21,1.16
M,NS,20,22,1.22
M,NS,20,23,1.29
M,NS,20,24,1.38
M,NS,20,25,1.49
M,NS,20,26,1.59
M,NS,20,27,1.65
M,NS,20,28,1.71
M,NS,20,29,1.79
M,NS,20,30,1.88
M,NS,20,31,1.99
M,NS,20,32,2.16
M,NS,20,33,2.36
M,NS,20,34,2.58
M,NS,20,35,2.8
M,NS,20,36,3.02
M,NS,20,37,3.22
M,NS,20,38,3.43
M,NS,20,39,3.66
M,NS,20,40,3.93
M,NS,20,41,4.28
M,NS,20,42,4.74
M,NS,20,43,5.27
M,NS,20,44,5.88
M,NS,20,45,6.54
M,NS,20,46,7.25
M,NS,20,47,8.02
M,NS,20,48,8.86
M,NS,20,49,9.79
M,NS,20,50,10.88
M,NS,20,51,12.16
M,NS,20,52,13.69
M,NS,20,53,15.48
M,NS,20,54,17.55
M,NS,20,55,19.89
M,NS,20,56,22.48
M,NS,20,57,25.32
M,NS,20,58,28.46
M,NS,20,59,31.99
M,NS,20,60,36.04
M,NS,20,61,40.76
M,NS,20,62,46.15
M,NS,20,63,52.27
M,NS,20,64,59.31
M,NS,20,65,67.48
M,NS,20,66,76.96
M,NS,20,67,87.87
M,NS,20,68,100.29
M,NS,20,69,114.02
M,NS,20,70,128.76
M,NS,20,71,144.17
M,NS,20,72,159.79
M,NS,20,73,175.3
M,NS,20,74,190.25
M,NS,20,75,203.94
M,NS,20,76,218.45
M,NS,20,77,235.54
M,NS,20,78,253.92
M,NS,20,79,273.64
M,NS,20,80,294.31
M,NS,20,81,315.52
M,NS,20,82,336.99
M,NS,20,83,358.54
M,NS,20,84,379.81
M,NS,20,85,400.44
M,NS,20,86,420.09
M,NS,20,87,438.4
M,NS,20,88,455.01
M,NS,20,89,469.56
M,NS,20,90,481.7
M,NS,20,91,491.07
M,NS,20,92,497.31
M,NS,20,93,500
M,NS,20,94,500
M,NS,20,95,500
M,NS,20,96,500
M,NS,20,97,500
M,NS,20,98,500
M,NS,20,99,500
M,NS,20,100,500
M,NS,20,101,500
M,NS,21,1,0.45
M,NS,21,2,0.52
M,NS,21,3,0.47
M,NS,21,4,0.44
M,NS,21,5,0.43
M,NS,21,6,0.43
M,NS,21,7,0.42
M,NS,21,8,0.4
M,NS,21,9,0.38
M,NS,21,10,0.41
M,NS,21,11,0.43
M,NS,21,12,0.45
M,NS,21,13,0.48
M,NS,21,14,0.53
M,NS,21,15,0.59
M,NS,21,16,0.64
M,NS,21,17,0.73
M,NS,21,18,0.84
M,NS,21,19,0.97
M,NS,21,20,1.09
M,NS,21,21,1.17
M,NS,21,22,1.23
M,NS,21,23,1.3
M,NS,21,24,1.41
M,NS,21,25,1.53
M,NS,21,26,1.65
M,NS,21,27,1.71
M,NS,21,28,1.79
M,NS,21,29,1.88
M,NS,21,30,1.99
M,NS,21,31,2.16
M,NS,21,32,2.36
M,NS,21,33,2.58
M,NS,21,34,2.8
M,NS,21,35,3.02
M,NS,21,36,3.22
M,NS,21,37,3.43
M,NS,21,38,3.66
M,NS,21,39,3.93
M,NS,21,40,4.28
M,NS,21,41,4.74
M,NS,21,42,5.27
M,NS,21,43,5.88
M,NS,21,44,6.54
M,NS,21,45,7.25
M,NS,21,46,8.02
M,NS,21,47,8.86
M,NS,21,48,9.79
M,NS,21,49,10.88
M,NS,21,50,12.16
M,NS,21,51,13.69
M,NS,21,52,15.48
M,NS,21,53,17.55
M,NS,21,54,19.89
M,NS,21,55,22.48
M,NS,21,56,25.32
M,NS,21,57,28.46
M,NS,21,58,31.99
M,NS,21,59,36.04
M,NS,21,60,40.76
M,NS,21,61,46.15
M,NS,21,62,52.27
M,NS,21,63,59.31
M,NS,21,64,67.48
M,NS,21,65,76.96
M,NS,21,66,87.87
M,NS,21,67,100.29
M,NS,21,68,114.02
M,NS,21,69,128.76
M,NS,21,70,144.17
M,NS,21,71,159.79
M,NS,21,72,175.3
M,NS,21,73,190.25
M,NS,21,74,203.94
M,NS,21,75,218.45
M,NS,21,76,235.54
M,NS,21,77,253.92
M,NS,21,78,273.64
M,NS,21,79,294.31
M,NS,21,80,315.52
M,NS,21,81,336.99
M,NS,21,82,358.54
M,NS,21,83,379.81
M,NS,21,84,400.44
M,NS,21,85,420.09
M,NS,21,86,438.4
M,NS,21,87,455.01
M,NS,21,88,469.56
M,NS,21,89,481.7
M,NS,21,90,491.07
M,NS,21,91,497.31
M,NS,21,92,500
M,NS,21,93,500
M,NS,21,94,500
M,NS,21,95,500
M,NS,21,96,500
M,NS,21,97,500
M,NS,21,98,500
M,NS,21,99,500
M,NS,21,100,500
M,NS,22,1,0.41
M,NS,22,2,0.43
M,NS,22,3,0.39
M,NS,22,4,0.37
M,NS,22,5,0.36
M,NS,22,6,0.36
M,NS,22,7,0.36
M,NS,22,8,0.35
M,NS,22,9,0.35
M,NS,22,10,0.4
M,NS,22,11,0.43
M,NS,22,12,0.46
M,NS,22,13,0.49
M,NS,22,14,0.56
M,NS,22,15,0.62
M,NS,22,16,0.66
M,NS,22,17,0.76
M,NS,22,18,0.88
M,NS,22,19,1.01
M,NS,22,20,1.11
M,NS,22,21,1.17
M,NS,22,22,1.23
M,NS,22,23,1.3
M,NS,22,24,1.43
M,NS,22,25,1.58
M,NS,22,26,1.71
M,NS,22,27,1.79
M,NS,22,28,1.88
M,NS,22,29,1.99
M,NS,22,30,2.16
M,NS,22,31,2.36
M,NS,22,32,2.58
M,NS,22,33,2.8
M,NS,22,34,3.02
M,NS,22,35,3.22
M,NS,22,36,3.43
M,NS,22,37,3.66
M,NS,22,38,3.93
M,NS,22,39,4.28
M,NS,22,40,4.74
M,NS,22,41,5.27
M,NS,22,42,5.88
M,NS,22,43,6.54
M,NS,22,44,7.25
M,NS,22,45,8.02
M,NS,22,46,8.86
M,NS,22,47,9.79
M,NS,22,48,10.88
M,NS,22,49,12.16
M,NS,22,50,13.69
M,NS,22,51,15.48
M,NS,22,52,17.55
M,NS,22,53,19.89
M,NS,22,54,22.48
M,NS,22,55,25.32
M,NS,22,56,28.46
M,NS,22,57,31.99
M,NS,22,58,36.04
M,NS,22,59,40.76
M,NS,22,60,46.15
M,NS,22,61,52.27
M,NS,22,62,59.31
M,NS,22,63,67.48
M,NS,22,64,76.96
M,NS,22,65,87.87
M,NS,22,66,100.29
M,NS,22,67,114.02
M,NS,22,68,128.76
M,NS,22,69,144.17
M,NS,22,70,159.79
M,NS,22,71,175.3
M,NS,22,72,190.25
M,NS,22,73,203.94
M,NS,22,74,218.45
M,NS,22,75,235.54
M,NS,22,76,253.92
M,NS,22,77,273.64
M,NS,22,78,294.31
M,NS,22,79,315.52
M,NS,22,80,336.99
M,NS,22,81,358.54
M,NS,22,82,379.81
M,NS,22,83,400.44
M,NS,22,84,420.09
M,NS,22,85,438.4
M,NS,22,86,455.01
M,NS,22,87,469.56
M,NS,22,88,481.7
M,NS,22,89,491.07
M,NS,22,90,497.31
M,NS,22,91,500
M,NS,22,92,500
M,NS,22,93,500
M,NS,22,94,500
M,NS,22,95,500
M,NS,22,96,500
M,NS,22,97,500
M,NS,22,98,500
M,NS,22,99,500
M,NS,23,1,0.35
M,NS,23,2,0.36
M,NS,23,3,0.33
M,NS,23,4,0.31
M,NS,23,5,0.31
M,NS,23,6,0.31
M,NS,23,7,0.31
M,NS,23,8,0.33
M,NS,23,9,0.34
M,NS,23,10,0.4
M,NS,23,11,0.43
M,NS,23,12,0.47
M,NS,23,13,0.52
M,NS,23,14,0.59
M,NS,23,15,0.64
M,NS,23,16,0.69
M,NS,23,17,0.79
M,NS,23,18,0.92
M,NS,23,19,1.04
M,NS,23,20,1.12
M,NS,23,21,1.18
M,NS,23,22,1.23
M,NS,23,23,1.31
M,NS,23,24,1.45
M,NS,23,25,1.63
M,NS,23,26,1.79
M,NS,23,27,1.88
M,NS,23,28,1.99
M,NS,23,29,2.16
M,NS,23,30,2.36
M,NS,23,31,2.58
M,NS,23,32,2.8
M,NS,23,33,3.02
M,NS,23,34,3.22
M,NS,23,35,3.43
M,NS,23,36,3.66
M,NS,23,37,3.93
M,NS,23,38,4.28
M,NS,23,39,4.74
M,NS,23,40,5.27
M,NS,23,41,5.88
M,NS,23,42,6.54
M,NS,23,43,7.25
M,NS,23,44,8.02
M,NS,23,45,8.86
M,NS,23,46,9.79
M,NS,23,47,10.88
M,NS,23,48,12.16
M,NS,23,49,13.69
M,NS,23,50,15.48
M,NS,23,51,17.55
M,NS,23,52,19.89
M,NS,23,53,22.48
M,NS,23,54,25.32
M,NS,23,55,28.46
M,NS,23,56,31.99
M,NS,23,57,36.04
M,NS,23,58,40.76
M,NS,23,59,46.15
M,NS,23,60,52.27
M,NS,23,61,59.31
M,NS,23,62,67.48
M,NS,23,63,76.96
M,NS,23,64,87.87
M,NS,23,65,100.29
M,NS,23,66,114.02
M,NS,23,67,128.76
M,NS,23,68,144.17
M,NS,23,69,159.79
M,NS,23,70,175.3
M,NS,23,71,190.25
M,NS,23,72,203.94
M,NS,23,73,218.45
M,NS,23,74,235.54
M,NS,23,75,253.92
M,NS,23,76,273.64
M,NS,23,77,294.31
M,NS,23,78,315.52
M,NS,23,79,336.99
M,NS,23,80,358.54
M,NS,23,81,379.81
M,NS,23,82,400.44
M,NS,23,83,420.09
M,NS,23,84,438.4
M,NS,23,85,455.01
M,NS,23,86,469.56
M,NS,23,87,481.7
M,NS,23,88,491.07
M,NS,23,89,497.31
M,NS,23,90,500
M,NS,23,91,500
M,NS,23,92,500
M,NS,23,93,500
M,NS,23,94,500
M,NS,23,95,500
M,NS,23,96,500
M,NS,23,97,500
M,NS,23,98,500
M,NS,24,1,0.3
M,NS,24,2,0.31
M,NS,24,3,0.28
M,NS,24,4,0.27
M,NS,24,5,0.27
M,NS,24,6,0.27
M,NS,24,7,0.29
M,NS,24,8,0.32
M,NS,24,9,0.34
M,NS,24,10,0.41
M,NS,24,11,0.45
M,NS,24,12,0.5
M,NS,24,13,0.55
M,NS,24,14,0.61
M,NS,24,15,0.67
M,NS,24,16,0.73
M,NS,24,17,0.84
M,NS,24,18,0.97
M,NS,24,19,1.07
M,NS,24,20,1.12
M,NS,24,21,1.19
M,NS,24,22,1.24
M,NS,24,23,1.35
M,NS,24,24,1.51
M,NS,24,25,1.7
M,NS,24,26,1.88
M,NS,24,27,1.99
M,NS,24,28,2.16
M,NS,24,29,2.36
M,NS,24,30,2.58
M,NS,24,31,2.8
M,NS,24,32,3.02
M,NS,24,33,3.22
M,NS,24,34,3.43
M,NS,24,35,3.66
M,NS,24,36,3.93
M,NS,24,37,4.28
M,NS,24,38,4.74
M,NS,24,39,5.27
M,NS,24,40,5.88
M,NS,24,41,6.54
M,NS,24,42,7.25
M,NS,24,43,8.02
M,NS,24,44,8.86
M,NS,24,45,9.79
M,NS,24,46,10.88
M,NS,24,47,12.16
M,NS,24,48,13.69
M,NS,24,49,15.48
M,NS,24,50,17.55
M,NS,24,51,19.89
M,NS,24,52,22.48
M,NS,24,53,25.32
M,NS,24,54,28.46
M,NS,24,55,31.99
M,NS,24,56,36.04
M,NS,24,57,40.76
M,NS,24,58,46.15
M,NS,24,59,52.27
M,NS,24,60,59.31
M,NS,24,61,67.48
M,NS,24,62,76.96
M,NS,24,63,87.87
M,NS,24,64,100.29
M,NS,24,65,114.02
M,NS,24,66,128.76
M,NS,24,67,144.17
M,NS,24,68,159.79
M,NS,24,69,175.3
M,NS,24,70,190.25
M,NS,24,71,203.94
M,NS,24,72,218.45
M,NS,24,73,235.54
M,NS,24,74,253.92
M,NS,24,75,273.64
M,NS,24,76,294.31
M,NS,24,77,315.52
M,NS,24,78,336.99
M,NS,24,79,358.54
M,NS,24,80,379.81
M,NS,24,81,400.44
M,NS,24,82,420.09
M,NS,24,83,438.4
M,NS,24,84,455.01
M,NS,24,85,469.56
M,NS,24,86,481.7
M,NS,24,87,491.07
M,NS,24,88,497.31
M,NS,24,89,500
M,NS,24,90,500
M,NS,24,91,500
M,NS,24,92,500
M,NS,24,93,500
M,NS,24,94,500
M,NS,24,95,500
M,NS,24,96,500
M,NS,24,97,500
M,NS,25,1,0.26
M,NS,25,2,0.27
M,NS,25,3,0.25
M,NS,25,4,0.25
M,NS,25,5,0.25
M,NS,25,6,0.26
M,NS,25,7,0.28
M,NS,25,8,0.32
M,NS,25,9,0.35
M,NS,25,10,0.42
M,NS,25,11,0.47
M,NS,25,12,0.53
M,NS,25,13,0.58
M,NS,25,14,0.65
M,NS,25,15,0.71
M,NS,25,16,0.78
M,NS,25,17,0.9
M,NS,25,18,1.02
M,NS,25,19,1.09
M,NS,25,20,1.13
M,NS,25,21,1.19
M,NS,25,22,1.28
M,NS,25,23,1.43
M,NS,25,24,1.61
M,NS,25,25,1.8
M,NS,25,26,1.99
M,NS,25,27,2.16
M,NS,25,28,2.36
M,NS,25,29,2.58
M,NS,25,30,2.8
M,NS,25,31,3.02
M,NS,25,32,3.22
M,NS,25,33,3.43
M,NS,25,34,3.66
M,NS,25,35,3.93
M,NS,25,36,4.28
M,NS,25,37,4.74
M,NS,25,38,5.27
M,NS,25,39,5.88
M,NS,25,40,6.54
M,NS,25,41,7.25
M,NS,25,42,8.02
M,NS,25,43,8.86
M,NS,25,44,9.79
M,NS,25,45,10.88
M,NS,25,46,12.16
M,NS,25,47,13.69
M,NS,25,48,15.48
M,NS,25,49,17.55
M,NS,25,50,19.89
M,NS,25,51,22.48
M,NS,25,52,25.32
M,NS,25,53,28.46
M,NS,25,54,31.99
M,NS,25,55,36.04
M,NS,25,56,40.76
M,NS,25,57,46.15
M,NS,25,58,52.27
M,NS,25,59,59.31
M,NS,25,60,67.48
M,NS,25,61,76.96
M,NS,25,62,87.87
M,NS,25,63,100.29
M,NS,25,64,114.02
M,NS,25,65,128.76
M,NS,25,66,144.17
M,NS,25,67,159.79
M,NS,25,68,175.3
M,NS,25,69,190.25
M,NS,25,70,203.94
M,NS,25,71,218.45
M,NS,25,72,235.54
M,NS,25,73,253.92
M,NS,25,74,273.64
M,NS,25,75,294.31
M,NS,25,76,315.52
M,NS,25,77,336.99
M,NS,25,78,358.54
M,NS,25,79,379.81
M,NS,25,80,400.44
M,NS,25,81,420.09
M,NS,25,82,438.4
M,NS,25,83,455.01
M,NS,25,84,469.56
M,NS,25,85,481.7
M,NS,25,86,491.07
M,NS,25,87,497.31
M,NS,25,88,500
M,NS,25,89,500
M,NS,25,90,500
M,NS,25,91,500
M,NS,25,92,500
M,NS,25,93,500
M,NS,25,94,500
M,NS,25,95,500
M,NS,25,96,500
M,NS,26,1,0.22
M,NS,26,2,0.24
M,NS,26,3,0.23
M,NS,26,4,0.24
M,NS,26,5,0.24
M,NS,26,6,0.26
M,NS,26,7,0.29
M,NS,26,8,0.33
M,NS,26,9,0.36
M,NS,26,10,0.45
M,NS,26,11,0.51
M,NS,26,12,0.57
M,NS,26,13,0.62
M,NS,26,14,0.69
M,NS,26,15,0.77
M,NS,26,16,0.85
M,NS,26,17,0.97
M,NS,26,18,1.06
M,NS,26,19,1.11
M,NS,26,20,1.16
M,NS,26,21,1.24
M,NS,26,22,1.37
M,NS,26,23,1.55
M,NS,26,24,1.74
M,NS,26,25,1.95
M,NS,26,26,2.16
M,NS,26,27,2.36
M,NS,26,28,2.58
M,NS,26,29,2.8
M,NS,26,30,3.02
M,NS,26,31,3.22
M,NS,26,32,3.43
M,NS,26,33,3.66
M,NS,26,34,3.93
M,NS,26,35,4.28
M,NS,26,36,4.74
M,NS,26,37,5.27
M,NS,26,38,5.88
M,NS,26,39,6.54
M,NS,26,40,7.25
M,NS,26,41,8.02
M,NS,26,42,8.86
M,NS,26,43,9.79
M,NS,26,44,10.88
M,NS,26,45,12.16
M,NS,26,46,13.69
M,NS,26,47,15.48
M,NS,26,48,17.55
M,NS,26,49,19.89
M,NS,26,50,22.48
M,NS,26,51,25.32
M,NS,26,52,28.46
M,NS,26,53,31.99
M,NS,26,54,36.04
M,NS,26,55,40.76
M,NS,26,56,46.15
M,NS,26,57,52.27
M,NS,26,58,59.31
M,NS,26,59,67.48
M,NS,26,60,76.96
M,NS,26,61,87.87
M,NS,26,62,100.29
M,NS,26,63,114.02
M,NS,26,64,128.76
M,NS,26,65,144.17
M,NS,26,66,159.79
M,NS,26,67,175.3
M,NS,26,68,190.25
M,NS,26,69,203.94
M,NS,26,70,218.45
M,NS,26,71,235.54
M,NS,26,72,253.92
M,NS,26,73,273.64
M,NS,26,74,294.31
M,NS,26,75,315.52
M,NS,26,76,336.99
M,NS,26,77,358.54
M,NS,26,78,379.81
M,NS,26,79,400.44
M,NS,26,80,420.09
M,NS,26,81,438.4
M,NS,26,82,455.01
M,NS,26,83,469.56
M,NS,26,84,481.7
M,NS,26,85,491.07
M,NS,26,86,497.31
M,NS,26,87,500
M,NS,26,88,500
M,NS,26,89,500
M,NS,26,90,500
M,NS,26,91,500
M,NS,26,92,500
M,NS,26,93,500
M,NS,26,94,500
M,NS,26,95,500
M,NS,27,1,0.2
M,NS,27,2,0.22
M,NS,27,3,0.22
M,NS,27,4,0.24
M,NS,27,5,0.25
M,NS,27,6,0.27
M,NS,27,7,0.31
M,NS,27,8,0.35
M,NS,27,9,0.39
M,NS,27,10,0.48
M,NS,27,11,0.55
M,NS,27,12,0.62
M,NS,27,13,0.67
M,NS,27,14,0.75
M,NS,27,15,0.83
M,NS,27,16,0.91
M,NS,27,17,1.02
M,NS,27,18,1.1
M,NS,27,19,1.15
M,NS,27,20,1.22
M,NS,27,21,1.33
M,NS,27,22,1.49
M,NS,27,23,1.68
M,NS,27,24,1.89
M,NS,27,25,2.12
M,NS,27,26,2.36
M,NS,27,27,2.58
M,NS,27,28,2.8
M,NS,27,29,3.02
M,NS,27,30,3.22
M,NS,27,31,3.43
M,NS,27,32,3.66
M,NS,27,33,3.93
M,NS,27,34,4.28
M,NS,27,35,4.74
M,NS,27,36,5.27
M,NS,27,37,5.88
M,NS,27,38,6.54
M,NS,27,39,7.25
M,NS,27,40,8.02
M,NS,27,41,8.86
M,NS,27,42,9.79
M,NS,27,43,10.88
M,NS,27,44,12.16
M,NS,27,45,13.69
M,NS,27,46,15.48
M,NS,27,47,17.55
M,NS,27,48,19.89
M,NS,27,49,22.48
M,NS,27,50,25.32
M,NS,27,51,28.46
M,NS,27,52,31.99
M,NS,27,53,36.04
M,NS,27,54,40.76
M,NS,27,55,46.15
M,NS,27,56,52.27
M,NS,27,57,59.31
M,NS,27,58,67.48
M,NS,27,59,76.96
M,NS,27,60,87.87
M,NS,27,61,100.29
M,NS,27,62,114.02
M,NS,27,63,128.76
M,NS,27,64,144.17
M,NS,27,65,159.79
M,NS,27,66,175.3
M,NS,27,67,190.25
M,NS,27,68,203.94
M,NS,27,69,218.45
M,NS,27,70,235.54
M,NS,27,71,253.92
M,NS,27,72,273.64
M,NS,27,73,294.31
M,NS,27,74,315.52
M,NS,27,75,336.99
M,NS,27,76,358.54
M,NS,27,77,379.81
M,NS,27,78,400.44
M,NS,27,79,420.09
M,NS,27,80,438.4
M,NS,27,81,455.01
M,NS,27,82,469.56
M,NS,27,83,481.7
M,NS,27,84,491.07
M,NS,27,85,497.31
M,NS,27,86,500
M,NS,27,87,500
M,NS,27,88,500
M,NS,27,89,500
M,NS,27,90,500
M,NS,27,91,500
M,NS,27,92,500
M,NS,27,93,500
M,NS,27,94,500
M,NS,28,1,0.18
M,NS,28,2,0.2
M,NS,28,3,0.21
M,NS,28,4,0.25
M,NS,28,5,0.27
M,NS,28,6,0.3
M,NS,28,7,0.33
M,NS,28,8,0.38
M,NS,28,9,0.42
M,NS,28,10,0.53
M,NS,28,11,0.6
M,NS,28,12,0.67
M,NS,28,13,0.72
M,NS,28,14,0.81
M,NS,28,15,0.9
M,NS,28,16,0.97
M,NS,28,17,1.07
M,NS,28,18,1.14
M,NS,28,19,1.22
M,NS,28,20,1.31
M,NS,28,21,1.45
M,NS,28,22,1.63
M,NS,28,23,1.84
M,NS,28,24,2.06
M,NS,28,25,2.31
M,NS,28,26,2.58
M,NS,28,27,2.8
M,NS,28,28,3.02
M,NS,28,29,3.22
M,NS,28,30,3.43
M,NS,28,31,3.66
M,NS,28,32,3.93
M,NS,28,33,4.28
M,NS,28,34,4.74
M,NS,28,35,5.27
M,NS,28,36,5.88
M,NS,28,37,6.54
M,NS,28,38,7.25
M,NS,28,39,8.02
M,NS,28,40,8.86
M,NS,28,41,9.79
M,NS,28,42,10.88
M,NS,28,43,12.16
M,NS,28,44,13.69
M,NS,28,45,15.48
M,NS,28,46,17.55
M,NS,28,47,19.89
M,NS,28,48,22.48
M,NS,28,49,25.32
M,NS,28,50,28.46
M,NS,28,51,31.99
M,NS,28,52,36.04
M,NS,28,53,40.76
M,NS,28,54,46.15
M,NS,28,55,52.27
M,NS,28,56,59.31
M,NS,28,57,67.48
M,NS,28,58,76.96
M,NS,28,59,87.87
M,NS,28,60,100.29
M,NS,28,61,114.02
M,NS,28,62,128.76
M,NS,28,63,144.17
M,NS,28,64,159.79
M,NS,28,65,175.3
M,NS,28,66,190.25
M,NS,28,67,203.94
M,NS,28,68,218.45
M,NS,28,69,235.54
M,NS,28,70,253.92
M,NS,28,71,273.64
M,NS,28,72,294.31
M,NS,28,73,315.52
M,NS,28,74,336.99
M,NS,28,75,358.54
M,NS,28,76,379.81
M,NS,28,77,400.44
M,NS,28,78,420.09
M,NS,28,79,438.4
M,NS,28,80,455.01
M,NS,28,81,469.56
M,NS,28,82,481.7
M,NS,28,83,491.07
M,NS,28,84,497.31
M,NS,28,85,500
M,NS,28,86,500
M,NS,28,87,500
M,NS,28,88,500
M,NS,28,89,500
M,NS,28,90,500
M,NS,28,91,500
M,NS,28,92,500
M,NS,28,93,500
M,NS,29,1,0.16
M,NS,29,2,0.18
M,NS,29,3,0.22
M,NS,29,4,0.25
M,NS,29,5,0.28
M,NS,29,6,0.31
M,NS,29,7,0.34
M,NS,29,8,0.39
M,NS,29,9,0.44
